user_id,order_id,order_date,order_amount,delivery_time_mins,used_promo,delivery_fee,order_time
U0018,O587030,2023-09-26,30.56,47,0,2.01,Morning
U0018,O937393,2024-02-15,34.55,19,0,4.2,Morning
U0019,O302346,2024-02-12,32.29,27,0,3.94,Evening
U0020,O385622,2024-02-17,34.65,53,1,3.81,Morning
U0021,O518815,2023-08-07,10.56,10,0,1.84,Late Night
U0021,O102257,2023-07-23,3.35,55,1,1.86,Afternoon
U0022,O948923,2023-10-06,21.57,64,0,0.43,Evening
U0022,O388816,2023-10-16,25.41,19,0,4.18,Afternoon
U0023,O807173,2023-09-28,49.13,46,0,2.32,Late Night
U0023,O901625,2023-12-14,13.19,51,1,3.86,Late Night
U0023,O889177,2023-09-09,27.32,51,0,1.91,Morning
U0024,O155350,2023-12-12,3.38,38,0,0.01,Evening
U0025,O878883,2023-03-21,27.98,43,1,3.02,Morning
U0025,O727835,2023-04-10,18.05,34,1,4.71,Morning
U0025,O602367,2023-11-29,37.92,55,0,3.88,Morning
U0025,O277241,2023-03-21,21.25,30,1,3.91,Morning
U0025,O993388,2023-12-26,29.98,52,0,3.37,Evening
U0025,O656718,2023-12-08,22.66,41,0,4.45,Morning
U0025,O922513,2023-07-14,29.5,37,0,1.15,Late Night
U0025,O593216,2023-03-16,25.38,43,0,2.5,Morning
U0026,O717632,2023-12-26,1.24,43,1,0.54,Late Night
U0026,O872791,2023-10-27,9.02,41,0,2.97,Evening
U0026,O228389,2024-02-10,30.49,26,1,4.72,Evening
U0027,O524528,2023-10-01,27.32,16,1,2.49,Morning
U0027,O511236,2023-11-05,33.95,10,1,0.23,Afternoon
U0028,O168323,2023-12-20,17.42,11,1,4.97,Late Night
U0029,O103696,2023-05-27,7.95,28,1,4.96,Morning
U0029,O873210,2023-08-17,36.26,30,1,4.39,Late Night
U0029,O853494,2023-06-13,9.74,35,0,0.18,Morning
U0029,O405505,2023-11-22,14.15,45,0,3.6,Late Night
U0030,O410001,2024-02-24,29.09,15,0,1.66,Evening
U0030,O291387,2023-04-14,11.19,55,0,4.4,Morning
U0030,O453646,2023-09-10,29.37,41,0,3.47,Late Night
U0030,O571017,2023-03-23,25.63,54,0,0.23,Late Night
U0030,O537100,2023-12-03,31.9,10,0,4.87,Evening
U0030,O447220,2023-06-10,14.7,23,0,3.65,Late Night
U0030,O840389,2024-01-25,33.12,55,0,3.8,Afternoon
U0030,O292029,2023-12-30,36.94,20,1,0.91,Afternoon
U0030,O238286,2024-03-12,19.02,56,0,3.31,Evening
U0031,O590238,2023-11-27,7.52,36,1,2.41,Morning
U0032,O372872,2023-09-25,12.94,32,0,0.49,Afternoon
U0032,O977550,2023-07-07,35.87,48,1,1.37,Evening
U0032,O839804,2023-12-22,21.32,28,1,0.79,Morning
U0032,O403664,2023-09-07,29.58,60,1,2.48,Evening
U0032,O412863,2023-10-14,32.94,31,0,3.91,Evening
U0034,O476047,2023-07-21,27.44,55,0,0.66,Afternoon
U0034,O300339,2023-10-05,35.54,57,0,4.08,Morning
U0034,O611181,2023-07-15,36.12,64,1,4.53,Afternoon
U0034,O730752,2023-11-09,7.24,41,0,1.76,Morning
U0035,O317813,2023-07-12,20.68,32,0,4.72,Morning
U0035,O496981,2023-09-15,19.41,40,1,3.93,Morning
U0035,O647219,2024-02-26,15.36,20,0,4.9,Afternoon
U0035,O728380,2023-08-24,28.88,35,0,0.95,Late Night
U0035,O843088,2024-01-28,10.03,25,0,2.42,Late Night
U0036,O837242,2023-10-07,42.66,25,0,0.46,Afternoon
U0036,O868917,2023-12-25,36.9,50,1,1.56,Late Night
U0036,O151707,2023-04-19,23.66,19,1,1.07,Evening
U0036,O487988,2023-04-08,28.91,15,1,3.4,Late Night
U0037,O702801,2024-02-21,27.25,29,1,2.17,Evening
U0038,O821755,2023-10-29,40.68,54,0,3.57,Late Night
U0039,O105039,2023-11-08,22.54,45,0,1.08,Morning
U0040,O996749,2024-02-14,34.78,23,0,1.03,Evening
U0041,O731525,2023-11-14,8.85,10,1,4.68,Late Night
U0041,O255489,2023-05-28,39.99,35,0,1.01,Afternoon
U0041,O796454,2024-01-21,24.86,24,1,0.53,Evening
U0041,O113261,2023-05-13,24.71,32,1,0.56,Morning
U0041,O724624,2023-09-20,30.43,19,1,4.07,Late Night
U0041,O444866,2023-08-01,23.96,46,0,1.27,Morning
U0042,O737938,2023-11-08,20.25,50,0,3.97,Evening
U0042,O622710,2024-01-17,1.36,19,0,1.48,Evening
U0042,O332076,2024-01-28,17.33,57,0,2.15,Evening
U0042,O870644,2024-02-14,34.76,48,0,0.81,Morning
U0042,O403602,2024-03-07,17.9,16,0,1.11,Morning
U0043,O407086,2023-10-08,29.49,58,1,2.07,Morning
U0043,O200546,2023-06-02,35.86,50,0,2.5,Evening
U0043,O811413,2023-10-02,21.41,35,1,3.48,Morning
U0044,O433840,2023-10-29,20.27,15,1,1.02,Morning
U0044,O453076,2023-05-03,30.37,55,1,3.37,Evening
U0045,O151831,2024-02-05,22.75,59,1,1.02,Late Night
U0046,O397016,2023-07-15,22.24,49,0,4.84,Late Night
U0046,O635352,2023-10-09,24.63,40,0,4.95,Late Night
U0046,O585097,2024-01-22,14.22,24,0,1.86,Evening
U0046,O646298,2023-08-16,20.47,33,0,4.65,Afternoon
U0046,O395809,2024-02-05,22.91,66,0,4.02,Morning
U0048,O725210,2023-04-27,20.57,27,1,3.75,Morning
U0048,O903806,2023-10-30,42.0,51,1,2.89,Afternoon
U0048,O184811,2023-05-30,43.09,31,0,1.01,Evening
U0048,O295623,2024-02-05,35.34,39,1,3.62,Evening
U0048,O383983,2023-10-22,27.22,27,0,4.11,Afternoon
U0048,O524671,2024-02-10,40.51,10,0,3.18,Evening
U0048,O909020,2023-11-06,13.24,21,0,3.47,Morning
U0049,O915495,2023-12-09,28.5,11,0,3.33,Afternoon
U0049,O690189,2024-01-06,21.71,45,1,4.98,Afternoon
U0050,O277826,2023-12-26,7.42,44,0,4.81,Evening
U0050,O348724,2023-07-19,28.34,56,0,3.27,Evening
U0050,O357438,2023-04-09,31.22,54,1,0.19,Evening
U0050,O707466,2023-09-26,7.49,12,0,0.35,Morning
U0050,O501426,2024-01-31,42.69,27,0,1.14,Evening
U0050,O974391,2023-12-22,10.13,14,1,3.17,Morning
U0050,O908596,2023-03-05,31.26,48,0,0.27,Evening
U0050,O643898,2023-07-21,14.41,57,1,0.84,Morning
U0050,O591006,2023-12-22,41.08,40,1,2.07,Late Night
U0051,O374336,2023-12-19,40.54,47,1,4.01,Afternoon
U0051,O299298,2024-02-11,29.39,37,1,2.92,Morning
U0052,O114995,2024-02-18,24.26,28,0,3.03,Late Night
U0054,O135903,2023-11-21,21.75,44,0,3.95,Evening
U0054,O741593,2024-02-20,23.23,11,0,0.5,Late Night
U0054,O352388,2023-11-19,28.34,35,0,0.57,Late Night
U0054,O331318,2023-04-18,18.87,50,0,1.16,Late Night
U0054,O595654,2023-07-09,10.85,15,0,4.88,Afternoon
U0055,O844822,2024-01-05,33.51,57,0,2.39,Afternoon
U0056,O277597,2024-02-11,23.39,50,1,1.98,Evening
U0056,O876372,2023-07-16,13.14,10,1,2.87,Evening
U0057,O337068,2024-03-05,13.16,27,0,3.71,Evening
U0057,O510834,2023-10-28,16.99,39,1,0.62,Evening
U0058,O966491,2023-04-21,47.19,32,0,2.76,Morning
U0058,O298303,2024-01-02,18.3,28,1,0.83,Evening
U0058,O369045,2023-06-14,19.52,47,1,4.85,Late Night
U0058,O868184,2023-12-18,18.07,47,1,4.47,Late Night
U0059,O775302,2023-10-16,39.94,42,1,3.0,Morning
U0059,O624624,2024-02-14,23.58,17,0,0.47,Afternoon
U0059,O186124,2024-02-28,26.42,43,1,3.93,Morning
U0060,O297478,2024-01-01,23.27,44,1,2.38,Evening
U0060,O540980,2023-06-23,26.31,28,0,3.35,Late Night
U0060,O594955,2023-10-09,18.49,35,0,2.76,Late Night
U0060,O396629,2023-08-05,17.23,45,0,2.33,Morning
U0061,O851722,2024-01-05,20.5,53,1,0.63,Morning
U0061,O306548,2023-09-27,32.43,36,0,0.33,Morning
U0063,O242482,2023-01-07,18.91,21,1,3.0,Late Night
U0063,O406901,2023-03-10,15.37,20,1,0.05,Late Night
U0063,O985987,2023-04-16,14.12,15,0,2.21,Morning
U0064,O930351,2023-07-09,14.83,49,0,2.24,Evening
U0064,O892130,2023-12-09,23.13,10,1,3.76,Late Night
U0064,O144041,2024-02-17,19.44,21,0,4.71,Morning
U0064,O292971,2023-11-20,21.05,43,1,4.28,Afternoon
U0064,O702251,2024-01-28,22.3,43,1,1.36,Morning
U0065,O717614,2023-12-24,32.76,55,0,1.95,Afternoon
U0065,O457226,2023-08-06,37.64,22,1,4.66,Late Night
U0065,O954741,2023-11-28,43.96,38,0,2.8,Late Night
U0065,O680086,2023-11-01,33.14,24,0,0.38,Morning
U0065,O645210,2023-06-10,26.49,24,1,0.16,Afternoon
U0065,O380539,2024-01-07,29.35,30,1,3.74,Late Night
U0066,O745976,2023-11-07,20.86,63,0,3.07,Morning
U0067,O317516,2024-01-22,20.49,43,0,4.04,Afternoon
U0068,O517582,2023-08-04,0.12,25,0,3.28,Afternoon
U0068,O759981,2024-03-14,20.6,43,0,2.56,Evening
U0068,O772747,2024-03-04,35.32,55,0,3.41,Afternoon
U0068,O409143,2023-08-22,9.39,55,0,0.53,Late Night
U0069,O540015,2024-02-08,13.0,30,1,2.79,Afternoon
U0069,O824750,2023-12-19,28.54,31,1,4.58,Afternoon
U0069,O881624,2023-12-08,19.98,31,0,0.22,Morning
U0069,O247878,2024-03-13,32.75,43,0,4.16,Afternoon
U0070,O674887,2023-11-10,7.78,40,1,1.08,Late Night
U0070,O440414,2024-02-26,40.08,24,0,3.36,Afternoon
U0070,O445280,2023-11-30,38.47,27,0,4.95,Evening
U0070,O156635,2024-03-11,23.22,14,0,1.52,Morning
U0070,O178537,2023-11-18,12.07,43,0,2.73,Afternoon
U0071,O723640,2023-10-15,35.49,59,0,1.17,Evening
U0071,O140149,2023-09-03,29.91,29,1,2.1,Afternoon
U0071,O810386,2024-03-08,21.41,33,0,0.06,Late Night
U0071,O987081,2024-02-04,7.69,57,1,2.72,Evening
U0072,O509740,2023-08-01,29.32,42,0,1.13,Morning
U0072,O411385,2023-07-28,23.89,21,0,4.35,Afternoon
U0072,O909359,2023-12-18,37.13,16,1,3.8,Morning
U0073,O122692,2023-11-29,18.93,41,0,1.34,Late Night
U0074,O658866,2024-01-30,15.54,44,1,1.3,Afternoon
U0075,O838591,2023-11-08,21.25,52,0,3.69,Morning
U0077,O987198,2024-02-07,22.2,10,1,2.06,Afternoon
U0077,O987099,2024-02-12,25.09,66,1,0.12,Evening
U0077,O656119,2023-11-17,27.22,54,1,0.08,Afternoon
U0077,O111984,2023-11-05,15.48,24,1,1.27,Late Night
U0078,O804706,2023-09-20,34.02,60,1,3.41,Late Night
U0081,O854924,2024-02-24,35.73,39,0,3.67,Afternoon
U0081,O154745,2024-01-07,9.06,60,0,0.14,Afternoon
U0081,O186803,2024-03-13,40.29,33,1,3.62,Afternoon
U0082,O211462,2023-11-28,17.27,35,0,3.0,Afternoon
U0082,O236319,2024-01-04,33.81,45,1,3.03,Late Night
U0082,O631985,2024-01-06,9.61,42,1,0.41,Morning
U0082,O815879,2023-12-22,23.37,19,0,3.42,Morning
U0083,O893070,2024-02-09,4.88,34,1,3.22,Late Night
U0084,O203533,2024-02-24,25.25,30,1,4.79,Evening
U0085,O378104,2023-09-28,20.64,10,0,0.41,Evening
U0085,O150519,2023-04-16,17.04,32,0,4.46,Evening
U0085,O972318,2023-09-02,12.93,18,0,3.36,Afternoon
U0085,O331452,2023-03-01,15.14,56,1,3.33,Late Night
U0086,O773243,2023-12-31,45.86,19,1,0.98,Late Night
U0086,O591818,2024-01-29,34.21,23,1,4.16,Evening
U0089,O252271,2023-10-02,14.74,53,1,1.98,Morning
U0089,O452621,2023-07-13,15.22,13,0,3.95,Afternoon
U0089,O706954,2023-08-03,24.12,40,0,1.7,Late Night
U0090,O659603,2023-10-05,15.72,31,1,2.07,Afternoon
U0090,O696543,2023-03-28,2.35,20,0,2.07,Evening
U0091,O594080,2023-11-13,29.83,21,0,3.1,Afternoon
U0091,O412579,2024-01-09,46.65,52,1,2.88,Morning
U0091,O867610,2024-02-04,33.81,60,0,0.86,Morning
U0092,O595919,2023-01-31,21.71,10,0,1.0,Afternoon
U0092,O744161,2023-08-05,35.95,41,1,1.39,Evening
U0092,O436128,2023-09-24,15.17,10,1,4.01,Evening
U0093,O363328,2023-11-25,5.69,48,1,0.12,Late Night
U0094,O825571,2023-03-16,18.6,22,0,0.34,Afternoon
U0094,O423966,2023-08-24,37.41,43,0,2.07,Late Night
U0094,O521773,2024-02-19,22.02,17,0,2.39,Afternoon
U0094,O172095,2023-08-02,29.99,43,0,4.19,Evening
U0096,O850018,2024-02-15,26.27,23,0,4.39,Late Night
U0097,O855477,2024-03-08,46.04,43,0,4.73,Afternoon
U0098,O414557,2024-01-03,34.78,10,0,0.02,Morning
U0098,O494295,2024-03-10,21.98,10,0,0.12,Morning
U0098,O444877,2024-02-15,25.52,42,1,0.57,Morning
U0098,O931635,2024-01-03,29.96,26,1,2.73,Afternoon
U0099,O121650,2023-11-27,25.45,35,0,2.0,Evening
U0099,O418903,2023-12-08,19.03,51,1,2.1,Evening
U0100,O770105,2023-06-21,28.06,46,0,3.38,Afternoon
U0101,O988916,2023-10-03,14.6,32,0,1.77,Evening
U0101,O816118,2023-05-06,-1.27,27,0,2.97,Evening
U0101,O708148,2023-10-14,50.7,14,0,1.05,Evening
U0101,O325959,2023-12-31,23.17,10,0,3.5,Evening
U0102,O691451,2023-09-12,28.47,72,0,0.03,Afternoon
U0102,O729756,2024-01-22,31.41,36,0,2.36,Late Night
U0102,O931633,2023-06-06,16.11,55,0,1.27,Morning
U0102,O544844,2023-10-18,14.44,34,0,1.58,Morning
U0103,O976888,2023-04-24,46.25,54,0,3.08,Late Night
U0103,O835518,2023-04-29,25.71,15,0,1.42,Late Night
U0103,O542846,2024-02-13,35.68,44,1,0.1,Evening
U0104,O825512,2024-02-22,21.07,14,0,4.56,Morning
U0104,O520993,2023-12-27,29.75,37,1,4.02,Morning
U0104,O947516,2023-11-09,35.04,24,1,3.46,Afternoon
U0104,O102795,2024-03-13,24.25,42,1,3.63,Evening
U0104,O144130,2023-12-14,43.98,20,1,1.16,Evening
U0105,O485134,2024-03-07,33.02,26,0,3.0,Evening
U0105,O207792,2023-11-26,32.83,28,1,3.82,Morning
U0105,O689719,2023-10-21,21.06,32,1,1.16,Evening
U0105,O696861,2024-02-07,34.9,25,1,0.69,Afternoon
U0105,O252117,2023-11-05,37.03,46,1,4.73,Late Night
U0105,O195558,2023-12-13,29.02,24,1,3.39,Late Night
U0105,O817186,2023-11-19,22.96,62,1,1.92,Morning
U0106,O654768,2023-12-21,17.19,28,1,1.53,Afternoon
U0106,O901818,2023-12-05,35.65,56,0,1.24,Evening
U0107,O162699,2023-11-05,12.13,36,0,2.31,Evening
U0107,O913820,2024-02-26,18.29,33,0,2.37,Morning
U0107,O750807,2023-11-15,2.26,67,0,4.09,Morning
U0108,O307440,2024-03-05,24.97,35,1,1.73,Morning
U0108,O703623,2023-07-24,36.31,34,0,2.77,Afternoon
U0108,O714101,2023-12-26,17.85,42,0,0.34,Afternoon
U0108,O516704,2024-01-02,32.62,20,0,1.21,Evening
U0108,O667354,2023-07-30,39.56,47,0,0.18,Afternoon
U0108,O367727,2023-12-24,32.63,22,0,3.12,Late Night
U0108,O332117,2023-02-27,18.08,10,1,2.54,Evening
U0109,O434071,2023-04-08,31.47,10,0,3.91,Late Night
U0109,O566995,2023-11-28,20.84,44,0,4.29,Evening
U0109,O893897,2023-12-25,31.65,26,0,4.14,Afternoon
U0109,O967392,2023-12-21,11.61,37,0,0.31,Late Night
U0110,O823055,2023-06-14,36.26,17,1,4.58,Evening
U0110,O790038,2023-07-09,26.81,54,0,4.78,Evening
U0110,O212564,2024-02-15,23.17,18,0,1.06,Late Night
U0110,O204127,2023-07-18,23.36,38,0,1.44,Afternoon
U0110,O622829,2023-12-06,46.37,16,1,0.97,Morning
U0110,O331237,2023-10-01,14.89,61,1,0.59,Afternoon
U0113,O425800,2023-12-30,41.63,38,1,3.48,Evening
U0113,O410272,2024-01-07,43.9,45,1,3.1,Afternoon
U0113,O851331,2024-02-29,9.3,39,0,4.84,Evening
U0113,O900562,2024-03-12,36.83,60,1,1.81,Evening
U0114,O644344,2023-10-30,13.9,52,0,3.05,Evening
U0114,O480069,2023-05-29,27.15,13,0,2.72,Late Night
U0114,O301528,2023-09-18,24.93,31,0,1.54,Morning
U0114,O415508,2023-11-01,43.76,59,1,1.2,Afternoon
U0115,O529069,2023-04-30,17.61,52,1,3.69,Late Night
U0115,O253706,2023-04-04,23.56,29,0,1.08,Evening
U0115,O938489,2023-03-07,23.57,46,0,4.81,Afternoon
U0115,O750370,2023-08-16,31.98,31,0,3.81,Morning
U0115,O324062,2023-08-19,33.66,44,1,4.93,Late Night
U0115,O382229,2024-02-24,38.93,45,1,4.23,Afternoon
U0116,O766041,2023-07-24,14.7,71,1,2.4,Evening
U0116,O666605,2023-10-21,10.85,38,0,3.74,Morning
U0117,O111549,2023-11-19,47.64,45,1,3.33,Morning
U0119,O103089,2024-01-11,35.08,26,0,1.97,Evening
U0119,O869042,2023-05-26,33.53,29,0,3.88,Evening
U0119,O860330,2023-06-16,32.87,26,1,3.95,Morning
U0119,O814114,2024-01-04,19.19,25,0,1.61,Evening
U0119,O658697,2024-03-01,17.68,63,1,3.6,Late Night
U0119,O100363,2024-01-27,25.71,21,1,0.51,Evening
U0119,O100882,2023-11-17,18.05,34,0,3.54,Morning
U0119,O795416,2023-11-08,25.77,36,0,0.96,Evening
U0120,O495783,2023-06-22,18.11,28,1,4.07,Late Night
U0120,O123331,2023-06-28,23.73,22,1,2.19,Morning
U0122,O894865,2023-09-21,23.17,28,1,1.69,Afternoon
U0122,O261149,2023-09-27,9.71,10,1,3.75,Late Night
U0123,O461185,2023-11-09,10.58,10,0,3.6,Evening
U0123,O849856,2023-09-23,20.19,45,0,0.2,Evening
U0123,O123548,2024-02-08,6.48,46,0,0.53,Late Night
U0123,O655913,2023-12-09,26.86,50,0,1.42,Morning
U0123,O258761,2023-12-24,17.71,67,0,3.79,Afternoon
U0124,O972504,2023-09-01,12.64,37,0,1.59,Evening
U0124,O823559,2023-11-12,32.01,77,0,0.08,Late Night
U0124,O241900,2023-11-04,29.24,46,0,1.97,Afternoon
U0125,O327693,2023-10-08,15.08,25,1,3.8,Late Night
U0125,O988559,2023-12-21,21.17,19,0,3.48,Morning
U0125,O450036,2023-09-08,13.27,33,1,1.05,Evening
U0125,O811823,2023-08-11,28.98,41,0,0.04,Afternoon
U0125,O286720,2023-12-22,25.8,22,1,1.94,Late Night
U0126,O626925,2023-07-07,23.41,21,1,1.08,Morning
U0126,O447236,2023-11-26,31.49,47,0,1.94,Evening
U0126,O302123,2023-05-20,23.67,29,0,1.2,Morning
U0126,O739548,2023-05-19,29.56,44,0,3.27,Afternoon
U0127,O879105,2023-11-21,12.29,33,0,2.0,Evening
U0127,O383817,2024-03-05,36.04,25,0,1.41,Late Night
U0128,O233501,2023-09-08,23.89,29,1,2.1,Afternoon
U0129,O721781,2024-02-16,32.91,41,1,2.13,Late Night
U0129,O374270,2024-02-17,21.86,41,0,0.31,Evening
U0129,O540847,2024-01-08,6.38,36,0,4.29,Afternoon
U0129,O312369,2023-09-19,25.53,15,1,4.87,Late Night
U0129,O193944,2023-08-12,20.16,20,1,1.72,Afternoon
U0129,O654280,2023-09-16,43.13,29,1,0.25,Late Night
U0130,O407268,2024-02-03,31.75,33,0,1.45,Afternoon
U0130,O607532,2024-02-19,28.96,38,0,2.68,Afternoon
U0130,O308137,2023-12-28,33.96,35,1,2.44,Late Night
U0130,O562927,2024-01-16,25.11,43,0,1.39,Late Night
U0131,O191288,2024-02-02,29.94,10,0,1.58,Morning
U0132,O555229,2023-12-11,35.92,48,1,1.44,Evening
U0132,O302278,2023-12-29,13.24,29,1,4.27,Late Night
U0133,O158123,2024-02-21,26.77,10,1,1.69,Late Night
U0134,O547421,2023-04-20,25.54,14,1,0.4,Late Night
U0134,O312986,2023-02-01,27.1,18,1,2.92,Afternoon
U0134,O514627,2023-06-25,24.08,21,0,4.34,Afternoon
U0136,O327544,2023-05-09,11.41,18,0,1.6,Afternoon
U0136,O715781,2023-12-05,25.85,58,1,2.61,Late Night
U0136,O954032,2023-06-12,32.79,18,1,3.04,Evening
U0137,O440281,2023-08-11,17.8,12,1,4.07,Morning
U0138,O750332,2024-01-29,37.07,12,0,0.63,Evening
U0138,O727763,2023-05-30,20.76,14,1,1.09,Evening
U0138,O307383,2023-12-05,10.66,10,0,3.58,Evening
U0138,O385291,2023-04-28,16.43,32,1,0.06,Afternoon
U0139,O244179,2024-02-21,27.24,32,0,0.69,Evening
U0140,O349717,2023-09-27,8.39,42,0,1.67,Evening
U0140,O126505,2023-12-13,28.24,69,0,1.16,Evening
U0140,O985829,2023-10-23,25.17,14,0,1.29,Morning
U0140,O543942,2024-03-04,18.97,39,1,4.04,Afternoon
U0141,O817875,2023-10-16,33.08,25,0,4.12,Afternoon
U0142,O583414,2023-05-13,1.28,65,0,3.25,Morning
U0142,O361420,2023-10-09,32.71,54,0,3.11,Afternoon
U0142,O165030,2023-06-28,20.94,25,0,4.71,Afternoon
U0142,O155182,2023-04-14,29.63,10,0,4.66,Afternoon
U0143,O569984,2023-10-25,29.87,51,1,0.64,Evening
U0143,O332320,2023-07-17,23.75,47,0,1.81,Afternoon
U0143,O456843,2023-08-09,37.04,40,1,2.32,Afternoon
U0143,O541758,2023-10-11,11.1,50,0,0.33,Afternoon
U0143,O477218,2023-09-29,3.09,29,1,3.31,Afternoon
U0144,O109472,2023-12-10,24.95,40,1,3.68,Afternoon
U0145,O567143,2023-09-08,22.87,52,0,2.73,Evening
U0145,O335161,2023-11-20,33.29,48,1,0.95,Morning
U0146,O786093,2024-02-06,24.38,42,0,4.19,Late Night
U0147,O879957,2023-10-22,34.82,10,0,3.88,Afternoon
U0147,O584353,2023-08-12,20.39,46,1,1.57,Morning
U0147,O440716,2023-09-16,13.05,39,1,0.88,Afternoon
U0147,O946334,2023-06-15,18.27,25,1,1.27,Evening
U0148,O665544,2023-09-30,33.69,10,0,4.58,Evening
U0148,O373945,2023-08-07,29.89,16,0,2.73,Morning
U0148,O282047,2023-11-30,13.13,50,0,1.52,Afternoon
U0148,O396952,2023-07-25,30.34,75,0,0.54,Evening
U0148,O608522,2023-07-11,32.23,42,0,0.43,Late Night
U0148,O697457,2023-12-17,38.47,16,0,3.39,Late Night
U0149,O424368,2023-04-23,26.68,49,1,4.96,Morning
U0149,O646547,2023-01-30,24.86,31,1,1.13,Afternoon
U0150,O189846,2023-06-24,26.35,23,0,2.25,Evening
U0150,O948964,2024-01-07,28.7,43,0,0.34,Morning
U0150,O524632,2023-04-07,11.65,18,1,3.4,Late Night
U0150,O531544,2023-04-27,23.32,37,0,2.9,Afternoon
U0150,O552115,2023-10-17,18.14,22,1,4.83,Morning
U0151,O558365,2023-10-28,10.17,36,1,1.02,Morning
U0151,O892473,2023-10-25,10.4,10,0,3.54,Evening
U0151,O266562,2023-11-08,19.34,47,0,0.28,Late Night
U0151,O968331,2023-02-12,18.16,46,0,2.42,Afternoon
U0151,O347113,2023-11-08,17.3,43,0,3.19,Evening
U0152,O295991,2023-10-12,38.75,30,0,4.43,Morning
U0152,O683526,2023-06-19,21.98,36,1,1.39,Afternoon
U0154,O418166,2024-02-01,26.54,42,0,2.63,Afternoon
U0154,O340028,2023-12-22,41.55,26,0,3.66,Evening
U0155,O531385,2024-02-23,40.05,44,0,2.71,Morning
U0155,O765329,2023-09-17,25.7,63,0,0.65,Afternoon
U0155,O258253,2024-01-11,40.81,45,1,0.41,Afternoon
U0156,O207441,2023-07-08,24.27,46,0,1.51,Morning
U0156,O266963,2023-06-13,32.18,32,1,2.09,Afternoon
U0156,O755337,2023-08-04,31.52,10,0,4.83,Late Night
U0156,O670178,2023-08-06,33.23,20,1,3.37,Evening
U0156,O680305,2023-04-24,25.22,20,0,2.03,Late Night
U0156,O551989,2023-07-03,33.98,51,0,1.19,Afternoon
U0156,O145406,2023-08-16,12.29,16,0,3.4,Evening
U0158,O543931,2023-04-19,29.9,43,0,4.03,Afternoon
U0158,O477224,2023-05-14,5.23,51,1,1.37,Afternoon
U0158,O933650,2023-08-18,32.23,36,1,4.11,Morning
